house_ID,Area_m2,volume_m3,representative_image
H_701d24577_1106d63762,233.38,704.02,H_701d24577_1106d63762.jpg
H_683d24622_1121d15567,236.9,673.31,H_683d24622_1121d15567.jpg
H_722d82579_1093d45543,167.11,756.27,H_722d82579_1093d45543.jpg
H_766d12596_1065d43586,253.63,1182.45,H_766d12596_1065d43586.jpg
H_783d88260_1056d39093,57.29,177.14,H_783d88260_1056d39093.jpg
H_778d01848_1052d99700,25.91,75.53,H_778d01848_1052d99700.jpg
H_744d27517_1078d77037,109.37,487.7,H_744d27517_1078d77037.jpg
