house_ID,Area_m2,volume_m3,representative_image
H_643d65217_1198d48318,320.88,768.59,H_643d65217_1198d48318.jpg
H_787d95118_1110d52412,249.38,1021.54,H_787d95118_1110d52412.jpg
H_751d55270_1129d79107,346.52,1061.69,H_751d55270_1129d79107.jpg
H_729d12060_1136d27226,63.39,134.8,H_729d12060_1136d27226.jpg
H_697d26313_1161d27901,106.01,222.43,H_697d26313_1161d27901.jpg
H_765d72291_1105d04832,76.36,157.62,H_765d72291_1105d04832.jpg
H_728d80828_1155d80064,35.62,168.48,H_728d80828_1155d80064.jpg
