house_ID,Area_m2,volume_m3,representative_image
H_617d95496_1123d98930,77.34,234.32,H_617d95496_1123d98930.jpg
H_762d59420_1060d67111,222.47,686.48,H_762d59420_1060d67111.jpg
H_760d36365_1040d85531,393.11,1023.89,H_760d36365_1040d85531.jpg
H_784d23498_1035d48333,468.43,1795.35,H_784d23498_1035d48333.jpg
H_743d75891_1063d77290,233.94,614.94,H_743d75891_1063d77290.jpg
H_777d20222_1067d63561,84.33,299.14,H_777d20222_1067d63561.jpg
H_679d27361_1091d12051,277.82,1051.83,H_679d27361_1091d12051.jpg
H_720d88127_1063d28825,72.15,218.38,H_720d88127_1063d28825.jpg
H_741d13429_1052d50233,103.98,389.95,H_741d13429_1052d50233.jpg
